X,Y,OBJECTID,island,area,name,address,zipcode,type,units,year_open
-157.838470768105,21.2850148835794,67,Oahu,Honolulu,Shell Vacations Waikiki Marina Resort at The Ilikai,1777 Ala Moana Boulevard,96815,TIMESHARE,1045,1964
-156.444920077768,20.7226214314126,68,Maui,Kihei,WorldMark at Kihei,75 Alanui Ke Alii Drive,96753,TIMESHARE,200,2001
-155.98671903332,19.6251415848661,69,Hawaii,Kailua-Kona,WorldMark at Kona,75-5949 Alii Drive,96740,TIMESHARE,64,1997
-156.67852823106,20.9714922630899,70,Maui,Lahaina,WorldMark at Valley Isle,4327 Lower Honoapiilani Road,96761,TIMESHARE,14,1973
-159.319589572541,22.063779770361,71,Kauai,Kapaa,WorldMark Kapaa Shore,4-900 Kuhio Highway,96746,TIMESHARE,49,1978
-157.829988498357,21.2842386970111,72,Oahu,Honolulu,Wyndham Vacation Resorts Royal Garden at Waikiki,440 Olohana Street,96815,TIMESHARE,140,1993
-157.830695891264,21.2793916183007,73,Oahu,Honolulu,Wyndham at Waikiki Beach Walk,227 Lewers Street,96815,TIMESHARE,195,2006
-159.481499993804,22.2223510016028,74,Kauai,Princeville,Wyndham Bali Hai Villas,4970 Pepelani Loop,96722,TIMESHARE,259,1995
-159.471078579739,22.2191467439922,75,Kauai,Princeville,Wyndham Ka Eo Kai,3970 Wyllie Road,96722,TIMESHARE,87,1982
-156.446556970464,20.7181352833874,76,Maui,Kihei,Hale Pau Hana Resort,2480 South Kihei Road,96753,CONDOMINIUM HOTEL,79,1969
-156.505033264324,20.796749563023,77,Maui,Wailuku,Kanai A Nalu,250 Hauoli Street,96793,INDIVIDUAL VACATION UNIT,69,1976
-156.458241887693,20.7693857462911,78,Maui,Kihei,Wailana Kai,34 Wailana Place,96753,INDIVIDUAL VACATION UNIT,7,1985
-155.06402292267,19.7280716189017,79,Hawaii,Hilo,Pagoda Hilo Bay,121 Banyan Drive,96720,APARTMENT/ HOTEL,95,1973
-159.494643234042,22.2219753274159,80,Kauai,Princeville,Emmalani Court,5250 Ka Haku Road,96722,INDIVIDUAL VACATION UNIT,25,2005
-156.685820667334,20.9342447229374,81,Maui,Lahaina,Kaanapali Plantation,150 Puukolii Road,96761,INDIVIDUAL VACATION UNIT,22,
-156.446130428343,20.7164724936761,82,Maui,Kihei,Kihei Akahi,2531 South Kihei Road,96753,INDIVIDUAL VACATION UNIT,199,1977
-156.690730107546,20.9262771510528,83,Maui,Lahaina,Maui Eldorado,2661 Kekaa Drive,96761,INDIVIDUAL VACATION UNIT,186,1969
-156.509761490619,20.7932027783152,84,Maui,Wailuku,Milowai-Maalaea,50 Hauoli Street,96793,INDIVIDUAL VACATION UNIT,24,2004
-156.678954185894,20.9739335548948,85,Maui,Kahana,Pohailani,4435 Lower Honoapiilani Road,96761,INDIVIDUAL VACATION UNIT,70,
-159.320858384165,22.0613507315704,86,Kauai,Kapaa,Waipouli Beach Resort,4-820 Kuhio Highway,96746,INDIVIDUAL VACATION UNIT,184,2006
-156.503962500015,20.8918008007089,87,Maui,Wailuku,Banana Bungalow / Maui Hostel,310 North Market Street,96793,HOSTEL,28,1990
-159.452030925531,21.8738416611035,88,Kauai,Poipu,Beachside Poipu Hale,2221B Kuai Road,96756,INDIVIDUAL VACATION UNIT,3,1994
-156.017059286715,20.7860718349177,89,Maui,Hana,Hale Moana,141 Alalele Place,96713,INDIVIDUAL VACATION UNIT,1,
-155.985364516207,20.7565026924477,90,Maui,Hana,Hana Beach Cottage,4975 Uakea Road,96713,INDIVIDUAL VACATION UNIT,1,
-155.987786654823,20.7604061376633,91,Maui,Hana,Hana Beachfront Hale,140 Waikoloa Road,96713,INDIVIDUAL VACATION UNIT,1,
-156.017051012747,20.7861266516161,92,Maui,Hana,Hana's Tradewind Cottages,143 Alalele Place,96713,INDIVIDUAL VACATION UNIT,1,1990
-159.665606999582,21.9546353997378,93,Kauai,Waimea,Kokee Lodge,"Kokee State Park, Mile Marker 15",96796,OTHER,12,1950
-156.457135837014,20.7479788538579,94,Maui,Kihei,Hale Kai O Kihei,1310 Uluniu Road,96753,INDIVIDUAL VACATION UNIT,17,1969
-155.041397403791,19.7346688033536,95,Hawaii,Hilo,Arnott's Lodge And Hiking Adventures,98 Apapane Road,96720,APARTMENT/ HOTEL,30,1990
-156.665914415626,20.9951109114194,96,Maui,Lahaina,Hale Napili,65 Hui Drive,96761,CONDOMINIUM HOTEL,18,1960
-156.665354144051,20.9949047083979,97,Maui,Lahaina,Napili Village Hotel,5425 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,30,1965
-156.509160407699,20.7935119083745,98,Maui,Wailuku,Maalaea Kai,70 Hauoli Street,96793,INDIVIDUAL VACATION UNIT,64,1974
-157.833606055605,21.2806814039213,99,Oahu,Honolulu,Hale Koa Hotel,2055 Kalia Road,96815,HOTEL,818,1975
-156.678364789135,20.8722134590379,100,Maui,Lahaina,Best Western Pioneer Inn,658 Wharf Street,96761,HOTEL,34,1901
-156.381780651931,20.9158828923653,101,Maui,Paia,The Paia Inn,93 Hana Highway,96779,HOTEL,7,
-156.681898920306,20.9660786192103,102,Maui,Lahaina,Noelani Condominium Resort (Estimate),4095 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,50,1976
-155.976091410901,19.6064368015582,103,Hawaii,Kailua-Kona,Banyan Tree Condominium,76-6268 Alii Drive,96740,INDIVIDUAL VACATION UNIT,14,1978
-155.96729665967,19.58207470057,104,Hawaii,Kailua-Kona,Kahaluu Reef,78-6665 Alii Drive,96740,INDIVIDUAL VACATION UNIT,10,
-155.986922142231,19.6260418073093,105,Hawaii,Kailua-Kona,Lunapule Kona,75-123 Lunapule Road,96740,INDIVIDUAL VACATION UNIT,5,
-155.98506355957,19.621804127262,106,Hawaii,Kailua-Kona,Kona Sea Ridge,75-6009 Alii Drive,96740,INDIVIDUAL VACATION UNIT,34,
-155.989266039156,19.6362199098064,107,Hawaii,Kailua-Kona,Kona Alii,75-5782 Kuakini Highway,96740,INDIVIDUAL VACATION UNIT,30,1974
-155.976829527876,19.6079441487823,108,Hawaii,Kailua-Kona,My Hawaii Hostel,76-6241 Ali'i Drive #5,96740,HOSTEL,36,
-155.974394642179,19.6041805660978,109,Hawaii,Kailua-Kona,Kona Palms,77-6311 Alii Drive,96740,INDIVIDUAL VACATION UNIT,3,
-155.984867304844,19.6208686654104,110,Hawaii,Kailua-Kona,Alii Villas,75-6016 Alii Drive,96740,INDIVIDUAL VACATION UNIT,60,1973
-155.983034773617,19.6165089143454,111,Hawaii,Kailua-Kona,Casa de Emdeko,75-6082 Alii Drive,96740,INDIVIDUAL VACATION UNIT,62,1970
-155.881624448976,19.9255289591923,112,Hawaii,Waikoloa,Halii Kai at Waikoloa,69-1033 Nawahine Place,96738,INDIVIDUAL VACATION UNIT,155,2007
-157.823418132083,21.2789021062475,113,Oahu,Honolulu,Aqua Aloha Surf Waikiki,444 Kanekapolei Street,96815,CONDOMINIUM HOTEL,202,1968
-157.829341500168,21.2808420002724,114,Oahu,Honolulu,Aqua Oasis,320 Lewers Street,96815,HOTEL,96,1960
-157.836517407259,21.2848062206656,115,Oahu,Honolulu,Aqua Palms Waikiki,1850 Ala Moana Boulevard,96815,CONDOMINIUM HOTEL,260,1968
-157.825972688148,21.2812362305744,116,Oahu,Honolulu,Aqua Skyline at Island Colony,445 Seaside Avenue,96815,HOTEL,92,1978
-157.821310318529,21.2728320431777,117,Oahu,Honolulu,Ewa Hotel Waikiki,2555 Cartwright Road,96815,HOTEL,92,1970
-158.052392999934,21.3333300000739,118,Oahu,Kapolei,Hampton Inn & Suites Oahu/Kapolei,91-5431 Kapolei Pkwy,96707,HOTEL,175,2016
-157.838470768105,21.2850148835794,119,Oahu,Honolulu,Ilikai Hotel & Luxury Suites,1777 Ala Moana Boulevard,96815,CONDOMINIUM HOTEL,1045,1964
-157.83228449979,21.283595999877,120,Oahu,Honolulu,Luana Waikiki Hotel & Suites,2045 Kalakaua Avenue,96815,CONDOMINIUM HOTEL,195,1970
-157.83986217426,21.2955723512068,121,Oahu,Honolulu,Pagoda Hotel,1525 Rycroft Street,96814,HOTEL,199,1964
-157.861156500007,21.3094620000974,122,Oahu,Honolulu,Aston at the Executive Centre Hotel,1088 Bishop Street,96813,CONDOMINIUM HOTEL,112,1992
-157.824628696427,21.2750472146863,123,Oahu,Honolulu,Espacio The Jewel of Waikiki,2452 Kalakaua Avenue,96815,HOTEL,9,2019
-159.339153388351,22.0104877761139,124,Kauai,Kapaa,Wyndham Kauai Beach Villas,4330 Kauai Beach Drive,96766,TIMESHARE,105,1979
-155.986222305904,19.6246512811345,125,Hawaii,Kailua-Kona,Wyndham Kona Hawaiian Village,75-5961 Alii Drive,96740,TIMESHARE,158,2001
-159.48444638729,22.2176402860446,126,Kauai,Princeville,Makai Club & Makai Club Cottages,4180 Lei O Papa Road,96722,TIMESHARE,57,1978
-155.984394187238,19.6195298453769,127,Hawaii,Kailua Kona,Wyndham Royal Sea Cliff,75-6040 Alii Drive,96740,TIMESHARE,76,1982
-159.474261028008,22.2268229270705,128,Kauai,Princeville,Wyndham Shearwater,3730 Kamehameha Road,96722,TIMESHARE,32,1995
-159.481300952211,22.226761226725,129,Kauai,Princeville,The Cliffs at Princeville,3811 Edwards Road,96722,TIMESHARE,10,1979
-159.476299711609,21.8818424042337,130,Kauai,Koloa,Lawai Beach Resort,5017 Lawai Road,96756,TIMESHARE,175,1981
-157.838470768105,21.2850148835794,131,Oahu,Honolulu,Ilikai Apartments,1777 Ala Moana Boulevard,96815,INDIVIDUAL VACATION UNIT,995,1964
-159.337654119005,22.0349239986253,132,Kauai,Lihue,Kaha Lani Resort,4460 Nehe Road,96766,INDIVIDUAL VACATION UNIT,67,1977
-156.457136945645,20.7569821230358,133,Maui,Kihei,Leinaala,998 South Kihei Road,96753,INDIVIDUAL VACATION UNIT,15,1975
-156.457356830396,20.7582175008363,134,Maui,Kihei,Luana Kai,940 South Kihei Road,96753,INDIVIDUAL VACATION UNIT,101,1979
-156.829266455894,21.0622950869171,135,Molokai,Kaunakakai,Molokai Shores,"Kamehameha Highway, Star Route",96748,INDIVIDUAL VACATION UNIT,82,1977
-156.665764497418,20.9976695541405,136,Maui,Lahaina,Napili Kai Beach Resort,5900 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,163,1962
-156.439000786088,20.6984998202418,137,Maui,Kihei,Palms at Wailea,3200 Wailea Alanui Drive,96753,CONDOMINIUM HOTEL,146,1991
-159.32731219629,22.0553130629611,138,Kauai,Kapaa,Plantation Hale,525 Aleka Loop,96746,INDIVIDUAL VACATION UNIT,135,1973
-156.683296921425,20.9618280623539,139,Maui,Lahaina,Kuleana Resort,3959 Lower Honoapiilani Road,96761,TIMESHARE,106,1973
-156.683296921425,20.9618280623539,140,Maui,Lahaina,Kuleana Resort,3959 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,106,1973
-156.683296921425,20.9618280623539,141,Maui,Lahaina,Kuleana Resort,3959 Lower Honoapiilani Road,96761,INDIVIDUAL VACATION UNIT,106,1973
-159.330395447364,22.0535927827045,142,Kauai,Kapaa,17 Palms Kauai,414 Wailua Kai Street,96746,INDIVIDUAL VACATION UNIT,2,2003
-156.434268046726,20.6853956700139,143,Maui,Wailea,Wailea Ekolu Village,10 Wailea Ekolu Place,96753,INDIVIDUAL VACATION UNIT,100,1979
-156.440688412199,20.6900501757032,144,Maui,Wailea,Wailea Elua,3600 Wailea Alanui Drive,96753,CONDOMINIUM HOTEL,114,1978
-156.440964671132,20.6784750423716,145,Maui,Wailea,Wailea Point Village,4000 Wailea Alanui Drive,96753,INDIVIDUAL VACATION UNIT,12,1987
